Old_ID,new_IDFULL
98009028,98200897-ddx27
98009134,98201014-dyh7-2
98009148,98201763-int1
98009152,98208130-vatb2
98009184,98202943-plrg1
98009200,98204501-top2a
98009209,98201321-fxr2
98009233,98203194-rbp1
98009339,98204584-tri46-6
98009430,98201373-gcp2
98009498,98201623-hm13
98009523,98204479-tmcc1
98009533,98200128-actb-22
98009536,98204892-unknown-10662
98009566,98203791-s2536
98009589,98203175-rasn
98009591,98203119-pus7
98009626,98204687-trio-3
98009703,98200011-2aba
98009751,98204893-unknown-9660
98009764,98203270-ric8a
98009775,98204894-unknown-9837
98009797,98200822-cuzd1
98009805,98200640-chst1-2
98009857,98204895-unknown-9948
98009895,98204185-straa
98009915,98204851-unk-2
98009997,98200102-acm1-2
98010162,98201849-kcc1d-9
98010177,98200400-brdt
98010195,98204896-unknown-10797
98010249,98202979-ppal-16
98010261,98202620-nolc1
98010265,98201880-kdm1b
98010289,98202545-ncbp1
98010333,98202573-nek3
98010360,98202311-mbtp1
98010392,98204897-unknown-9661
98010430,98202517-myo15
98010457,98204898-unknown-10111
98010468,98204899-unknown-9662
98010476,98202896-pigg
98010481,98204031-snf8
98010526,98200721-coq4
98010584,98202819-pex1
98010608,98200037-aatc
98010690,98202687-oit3-2
98010752,98202888-piez2-4
98010821,98202946-plxa1
98010930,98204369-tfe3
98010939,98204900-unknown-10717
98010969,98204901-unknown-12348
98011003,98203872-scape-2
98011054,98204814-ubr5
98011077,98204115-sr140
98011091,98204684-trim9-2
98011186,98204665-trim3-28
98011228,98204902-unknown-11259
98011235,98204224-sywm-2
98011303,98200707-cof2
98011373,98204903-unknown-10454
98011387,98204904-unknown-10034
98011389,98203794-s2611-3
98011427,98204905-unknown-10432
98011434,98203060-prp17
98011439,98200016-5ht1d-2
98011557,98202934-pld6
98011628,98202662-nucl
98011669,98204537-trap1
98011709,98201163-erln2
98011745,98200950-dnai4-2
98011747,98204906-unknown-9663
98011790,98203093-ptcd1
98011812,98204907-unknown-11156
98011817,98204908-unknown-10126
98011859,98202849-pgbm-6
98011875,98204909-unknown-12233
98011952,98201896-kif11
98011993,98201780-islr2
98012050,98204910-unknown-10850
98012105,98203920-setd2-4
98012112,98204911-unknown-11489
98012132,98203531-rpe
98012168,98208199-wdr81-2
98012239,98202481-mtmr2
98012243,98204912-unknown-10130
98012248,98204139-sspo-2
98012292,98204913-unknown-11730
98012417,98204914-unknown-11071
98012421,98204466-tm131
